comparison_type,role,smat_player,smat_team,ipl_player,ipl_team,similarity_rank,similarity_score
batting,middle_order,Shahbaz Ahmed,Bengal,IK Pathan,Delhi Capitals,3,68.14
batting,middle_order,Sudip Chatterjee,Bengal,FY Fazal,Rajasthan Royals,1,92.4
batting,middle_order,Sudip Chatterjee,Bengal,KS Bharat,Royal Challengers Bengaluru,2,76.37
batting,middle_order,Sudip Chatterjee,Bengal,RA Tripathi,Sunrisers Hyderabad,3,75.18
batting,middle_order,UR Kumar,Gujarat,PHKD Mendis,Sunrisers Hyderabad,1,66.97
batting,middle_order,UR Kumar,Gujarat,DJ Mitchell,Chennai Super Kings,2,58.81
batting,middle_order,UR Kumar,Gujarat,RA Tripathi,Sunrisers Hyderabad,3,55.16
batting,middle_order,YBK Jaiswal,Mumbai,RA Tripathi,Sunrisers Hyderabad,1,88.31
batting,middle_order,YBK Jaiswal,Mumbai,LA Pomersbach,Punjab Kings,2,86.12
batting,middle_order,YBK Jaiswal,Mumbai,TL Suman,Sunrisers Hyderabad,3,79.51
batting,middle_order,Yudhvir Singh,Jammu & Kashmir,C de Grandhomme,Royal Challengers Bengaluru,1,70.87
batting,middle_order,Yudhvir Singh,Jammu & Kashmir,Azmatullah Omarzai,Punjab Kings,2,63.95
batting,middle_order,Yudhvir Singh,Jammu & Kashmir,AUK Pathan,Royal Challengers Bengaluru,3,58.5
batting,tailender,A Sheth,Baroda,AB Agarkar,Kolkata Knight Riders,1,88.07
batting,tailender,A Sheth,Baroda,PP Chawla,Punjab Kings,2,85.31
batting,tailender,A Sheth,Baroda,Harbhajan Singh,Mumbai Indians,3,83.87
batting,tailender,KC Cariappa,Karnataka,Akash Deep,Royal Challengers Bengaluru,1,87.42
batting,tailender,KC Cariappa,Karnataka,MJ McClenaghan,Mumbai Indians,2,84.02
batting,tailender,KC Cariappa,Karnataka,AJ Tye,Punjab Kings,3,81.84
batting,tailender,Lalhriatrenga,Mizoram,A Zampa,Rajasthan Royals,1,92.66
batting,tailender,Lalhriatrenga,Mizoram,S Badree,Royal Challengers Bengaluru,2,88.72
batting,tailender,Lalhriatrenga,Mizoram,PV Tambe,Rajasthan Royals,3,87.31
batting,tailender,Lalhruai Ralte,Mizoram,S Nadeem,Delhi Capitals,1,90.03
batting,tailender,Lalhruai Ralte,Mizoram,PV Tambe,Rajasthan Royals,2,87.49
batting,tailender,Lalhruai Ralte,Mizoram,AB Dinda,Pune Warriors,3,86.85
batting,tailender,Rahul Batham,Madhya Pradesh,A Manohar,Gujarat Titans,1,84.09
batting,tailender,Rahul Batham,Madhya Pradesh,TK Curran,Kolkata Knight Riders,2,80.73
batting,tailender,Rahul Batham,Madhya Pradesh,MD Choudhary,Lucknow Super Giants,3,79.32
batting,tailender,Remruatdika Ralte,Mizoram,P Awana,Punjab Kings,1,94.11
batting,tailender,Remruatdika Ralte,Mizoram,Pankaj Singh,Royal Challengers Bengaluru,2,92.3
batting,tailender,Remruatdika Ralte,Mizoram,KMA Paul,Delhi Capitals,3,91.98
batting,tailender,Rishabh Chouhan,Madhya Pradesh,TK Curran,Kolkata Knight Riders,1,93.6
batting,tailender,Rishabh Chouhan,Madhya Pradesh,Abdul Samad,Sunrisers Hyderabad,2,89.3
batting,tailender,Rishabh Chouhan,Madhya Pradesh,R Sathish,Mumbai Indians,3,88.45
batting,top_order_anchor,A Badoni,Delhi,PD Collingwood,Delhi Capitals,1,72.69
batting,top_order_anchor,A Badoni,Delhi,SPD Smith,Rajasthan Royals,2,69.78
batting,top_order_anchor,A Badoni,Delhi,A Symonds,Sunrisers Hyderabad,3,65.24
batting,top_order_anchor,Amandeep Khare,Chhattisgarh,KS Williamson,Sunrisers Hyderabad,1,87.46
batting,top_order_anchor,Amandeep Khare,Chhattisgarh,SPD Smith,Rajasthan Royals,2,86.1
batting,top_order_anchor,Amandeep Khare,Chhattisgarh,A Symonds,Sunrisers Hyderabad,3,60.03
batting,top_order_anchor,Anmolpreet Singh,Punjab,AB de Villiers,Royal Challengers Bengaluru,1,74.03
batting,top_order_anchor,Anmolpreet Singh,Punjab,SPD Smith,Rajasthan Royals,2,62.25
batting,top_order_anchor,Anmolpreet Singh,Punjab,AK Markram,Sunrisers Hyderabad,3,54.25
batting,top_order_anchor,Harpreet Singh,Chhattisgarh,SE Marsh,Punjab Kings,1,66.96
batting,top_order_anchor,Harpreet Singh,Chhattisgarh,MN van Wyk,Kolkata Knight Riders,2,53.1
batting,top_order_anchor,Harpreet Singh,Chhattisgarh,SS Iyer,Delhi Capitals,3,45.82
